VIX Time,VIX Open,VIX High,VIX Low,VIX Last,VIX Change,VIX %Chg,QQQ Open,QQQ High,QQQ Low,QQQ Close,Volume,QQQ Change,QQQ %Chg,QQQ Overnight %Chg
1/3/00,24.21,24.21,24.21,24.21,0.81,3.46%,96.19,96.19,90.75,94.75,"72,690,400",3.375,,
1/4/00,27.01,27.01,27.01,27.01,2.8,11.57%,92,93.5,87.94,88.25,"67,573,200",-6.5,-6.86%,-2.90%
1/5/00,26.41,26.41,26.41,26.41,-0.6,-2.22%,87.5,89.625,84.25,86,"84,993,200",-2.25,-2.55%,-0.85%
1/6/00,25.73,25.73,25.73,25.73,-0.68,-2.57%,86.875,88,79.75,80.095,"74,269,600",-5.905,-6.87%,1.02%
1/7/00,21.72,21.72,21.72,21.72,-4.01,-15.58%,82.94,90,82.5,90,"56,276,400",9.905,12.37%,3.55%
1/10/00,21.71,21.71,21.71,21.71,-0.01,-0.05%,91,93.94,89.94,92.5,"59,351,196",2.5,2.78%,1.11%
1/11/00,22.5,22.5,22.5,22.5,0.79,3.64%,91.75,92.875,87,88,"65,093,200",-4.5,-4.86%,-0.81%
1/12/00,22.84,22.84,22.84,22.84,0.34,1.51%,89,89.24,86,86.065,"58,099,996",-1.935,-2.20%,1.14%
1/13/00,21.71,21.71,21.71,21.71,-1.13,-4.95%,88.5,91.5,87.08,91.25,"50,330,400",5.185,6.02%,2.83%
1/14/00,19.66,19.66,19.66,19.66,-2.05,-9.44%,93,93.625,92,93.375,"43,797,200",2.125,2.33%,1.92%
1/18/00,21.5,21.5,21.5,21.5,1.84,9.36%,92.065,94.44,91.44,93.875,"33,504,802",0.5,0.54%,-1.40%
1/19/00,21.72,21.72,21.72,21.72,0.22,1.02%,93.49,96,92.43,96,"38,012,000",2.125,2.26%,-0.41%
1/20/00,21.75,21.75,21.75,21.75,0.03,0.14%,95.5,96.875,94.01,95.065,"51,916,000",-0.935,-0.97%,-0.52%
1/21/00,20.82,20.82,20.82,20.82,-0.93,-4.28%,96.5,96.565,95.065,96.25,"37,396,400",1.185,1.25%,1.51%
1/24/00,24.07,24.07,24.07,24.07,3.25,15.61%,97.44,97.625,90.97,91.625,"56,680,800",-4.625,-4.81%,1.24%
1/25/00,23.02,23.02,23.02,23.02,-1.05,-4.36%,91.875,94.115,89.405,93,"66,552,396",1.375,1.50%,0.27%
1/26/00,23.03,23.03,23.03,23.03,0.01,0.04%,93.25,93.315,89,89.25,"46,191,200",-3.75,-4.03%,0.27%
1/27/00,23.54,23.54,23.54,23.54,0.51,2.21%,91.75,92.5,87.625,90.565,"61,478,396",1.315,1.47%,2.80%
1/28/00,26.14,26.14,26.14,26.14,2.6,11.05%,90,90.47,84.75,86,"70,627,600",-4.565,-5.04%,-0.62%
1/31/00,24.95,24.95,24.95,24.95,-1.19,-4.55%,85.875,90,83.5,89.69,"72,029,200",3.69,4.29%,-0.15%
2/1/00,23.45,23.45,23.45,23.45,-1.5,-6.01%,89.53,92.5,88.44,92.095,"52,835,200",2.405,2.68%,-0.18%
2/2/00,23.12,23.12,23.12,23.12,-0.33,-1.41%,92.25,94.72,92.095,92.875,"52,338,400",0.78,0.85%,0.17%
2/3/00,22.01,22.01,22.01,22.01,-1.11,-4.80%,94.315,96.625,92.28,96.5,"61,159,596",3.625,3.90%,1.55%
2/4/00,21.54,21.54,21.54,21.54,-0.47,-2.14%,97,98.24,96.22,97.155,"53,280,000",0.655,0.68%,0.52%
2/7/00,22.79,22.79,22.79,22.79,1.25,5.80%,97.25,98.625,96.25,98.5,"35,522,000",1.345,1.38%,0.10%
2/8/00,21.25,21.25,21.25,21.25,-1.54,-6.76%,99.375,102.875,99.375,102.625,"43,998,800",4.125,4.19%,0.89%
2/9/00,22.9,22.9,22.9,22.9,1.65,7.76%,102.065,102.195,98.75,99,"54,516,400",-3.625,-3.53%,-0.55%
2/10/00,23.07,23.07,23.07,23.07,0.17,0.74%,99.815,102.25,98.555,102.25,"52,683,200",3.25,3.28%,0.82%
2/11/00,24.42,24.42,24.42,24.42,1.35,5.85%,102.065,102.065,98,99.875,"49,752,000",-2.375,-2.32%,-0.18%
2/14/00,24.38,24.38,24.38,24.38,-0.04,-0.16%,99.99,100,97.75,99.75,"45,629,200",-0.125,-0.13%,0.12%
2/15/00,22.92,22.92,22.92,22.92,-1.46,-5.99%,98.94,100.625,95.875,100.47,"61,145,600",0.72,0.72%,-0.81%
2/16/00,23.51,23.51,23.51,23.51,0.59,2.57%,99.905,101.69,99.315,100,"50,621,200",-0.47,-0.47%,-0.56%
2/17/00,23.17,23.17,23.17,23.17,-0.34,-1.45%,101.19,103.25,99.625,102.125,"60,160,404",2.125,2.13%,1.19%
2/18/00,26,26,26,26,2.83,12.21%,102.625,103,98.44,98.44,"50,542,400",-3.685,-3.61%,0.49%
2/22/00,25.86,25.86,25.86,25.86,-0.14,-0.54%,99,99.94,96.25,98.75,"74,452,400",0.31,0.31%,0.57%
